,STATE_NAME,DISYR,Gender_Type,count
461,LOUISIANA,2018.0,Female,2849
462,LOUISIANA,2018.0,Male,3715
463,LOUISIANA,2019.0,-9.0,8
464,LOUISIANA,2019.0,Female,2631
465,LOUISIANA,2019.0,Male,3159
466,MAINE,2009.0,Female,2480
467,MAINE,2009.0,Male,4347
468,MAINE,2010.0,Female,2171
469,MAINE,2010.0,Male,3616
470,MAINE,2011.0,Female,2533
471,MAINE,2011.0,Male,4123
472,MAINE,2012.0,Female,2545
473,MAINE,2012.0,Male,3812
474,MAINE,2013.0,Female,2405
475,MAINE,2013.0,Male,3709
476,MAINE,2014.0,Female,2080
477,MAINE,2014.0,Male,3011
478,MAINE,2015.0,Female,1787
479,MAINE,2015.0,Male,2769
480,MAINE,2016.0,Female,1955
481,MAINE,2016.0,Male,2861
482,MAINE,2017.0,Female,1595
483,MAINE,2017.0,Male,2409
484,MAINE,2018.0,-9.0,2
485,MAINE,2018.0,Female,1482
486,MAINE,2018.0,Male,2125
487,MAINE,2019.0,Female,1415
488,MAINE,2019.0,Male,2093
489,MARYLAND,2009.0,Female,7961
490,MARYLAND,2009.0,Male,19618
491,MARYLAND,2010.0,Female,6597
492,MARYLAND,2010.0,Male,15918
493,MARYLAND,2011.0,Female,7411
494,MARYLAND,2011.0,Male,16571
495,MARYLAND,2012.0,Female,8531
496,MARYLAND,2012.0,Male,19010
497,MARYLAND,2013.0,Female,8158
498,MARYLAND,2013.0,Male,18008
499,MARYLAND,2014.0,Female,6997
500,MARYLAND,2014.0,Male,15504
501,MARYLAND,2015.0,Female,5731
502,MARYLAND,2015.0,Male,8896
503,MARYLAND,2016.0,Female,6478
504,MARYLAND,2016.0,Male,9833
505,MARYLAND,2017.0,Female,5916
506,MARYLAND,2017.0,Male,9693
507,MARYLAND,2018.0,-9.0,1
508,MARYLAND,2018.0,Female,6543
509,MARYLAND,2018.0,Male,10880
510,MARYLAND,2019.0,Female,5931
511,MARYLAND,2019.0,Male,9611
512,MASSACHUSETTS,2009.0,-9.0,6
513,MASSACHUSETTS,2009.0,Female,6569
514,MASSACHUSETTS,2009.0,Male,13223
515,MASSACHUSETTS,2010.0,-9.0,6
516,MASSACHUSETTS,2010.0,Female,7279
517,MASSACHUSETTS,2010.0,Male,13567
518,MASSACHUSETTS,2011.0,-9.0,11
519,MASSACHUSETTS,2011.0,Female,6603
520,MASSACHUSETTS,2011.0,Male,12298
521,MASSACHUSETTS,2012.0,-9.0,1
522,MASSACHUSETTS,2012.0,Female,7013
523,MASSACHUSETTS,2012.0,Male,13138
524,MASSACHUSETTS,2013.0,-9.0,9
525,MASSACHUSETTS,2013.0,Female,7009
526,MASSACHUSETTS,2013.0,Male,12581
527,MASSACHUSETTS,2014.0,-9.0,13
528,MASSACHUSETTS,2014.0,Female,6445
529,MASSACHUSETTS,2014.0,Male,15158
530,MASSACHUSETTS,2015.0,-9.0,14
531,MASSACHUSETTS,2015.0,Female,4034
532,MASSACHUSETTS,2015.0,Male,8505
533,MASSACHUSETTS,2016.0,-9.0,12
534,MASSACHUSETTS,2016.0,Female,3903
535,MASSACHUSETTS,2016.0,Male,7943
536,MASSACHUSETTS,2017.0,-9.0,6
537,MASSACHUSETTS,2017.0,Female,3521
538,MASSACHUSETTS,2017.0,Male,7668
539,MASSACHUSETTS,2018.0,-9.0,27
540,MASSACHUSETTS,2018.0,Female,3552
541,MASSACHUSETTS,2018.0,Male,7345
542,MASSACHUSETTS,2019.0,-9.0,31
543,MASSACHUSETTS,2019.0,Female,3655
544,MASSACHUSETTS,2019.0,Male,7781
545,MICHIGAN ,2009.0,Female,10494
546,MICHIGAN ,2009.0,Male,20431
547,MICHIGAN ,2010.0,Female,10427
548,MICHIGAN ,2010.0,Male,17948
549,MICHIGAN ,2011.0,Female,11589
550,MICHIGAN ,2011.0,Male,19700
551,MICHIGAN ,2012.0,Female,10307
552,MICHIGAN ,2012.0,Male,17393
553,MICHIGAN ,2013.0,Female,11309
554,MICHIGAN ,2013.0,Male,18743
555,MICHIGAN ,2014.0,Female,8861
556,MICHIGAN ,2014.0,Male,14147
557,MICHIGAN ,2015.0,Female,6417
558,MICHIGAN ,2015.0,Male,10670
559,MICHIGAN ,2016.0,Female,9389
560,MICHIGAN ,2016.0,Male,14949
561,MICHIGAN ,2017.0,Female,10809
562,MICHIGAN ,2017.0,Male,17140
563,MICHIGAN ,2018.0,Female,12504
564,MICHIGAN ,2018.0,Male,19206
565,MICHIGAN ,2019.0,Female,13398
566,MICHIGAN ,2019.0,Male,19481
567,MINNESOTA,2009.0,Female,425
568,MINNESOTA,2009.0,Male,609
569,MINNESOTA,2010.0,Female,383
570,MINNESOTA,2010.0,Male,543
571,MINNESOTA,2011.0,Female,454
572,MINNESOTA,2011.0,Male,648
573,MINNESOTA,2012.0,Female,582
574,MINNESOTA,2012.0,Male,828
575,MINNESOTA,2013.0,Female,761
576,MINNESOTA,2013.0,Male,1020
577,MINNESOTA,2014.0,Female,885
578,MINNESOTA,2014.0,Male,1147
579,MINNESOTA,2015.0,Female,1114
580,MINNESOTA,2015.0,Male,1425
581,MINNESOTA,2016.0,Female,1272
582,MINNESOTA,2016.0,Male,1647
583,MINNESOTA,2017.0,Female,1342
584,MINNESOTA,2017.0,Male,1763
585,MINNESOTA,2018.0,Female,1151
586,MINNESOTA,2018.0,Male,1441
587,MINNESOTA,2019.0,Female,1072
588,MINNESOTA,2019.0,Male,1318
589,MISSOURI,2009.0,Female,4636
590,MISSOURI,2009.0,Male,12882
591,MISSOURI,2010.0,Female,4854
592,MISSOURI,2010.0,Male,13235
593,MISSOURI,2011.0,-9.0,1
594,MISSOURI,2011.0,Female,3905
595,MISSOURI,2011.0,Male,9344
596,MISSOURI,2012.0,Female,4807
597,MISSOURI,2012.0,Male,10486
598,MISSOURI,2013.0,Female,4500
599,MISSOURI,2013.0,Male,9453
600,MISSOURI,2014.0,-9.0,2
601,MISSOURI,2014.0,Female,4027
602,MISSOURI,2014.0,Male,8368
603,MISSOURI,2015.0,Female,4374
604,MISSOURI,2015.0,Male,8476
605,MISSOURI,2016.0,Female,4138
606,MISSOURI,2016.0,Male,7367
607,MISSOURI,2017.0,Female,3975
608,MISSOURI,2017.0,Male,7504
609,MISSOURI,2018.0,Female,4400
610,MISSOURI,2018.0,Male,8335
611,MISSOURI,2019.0,Female,4470
612,MISSOURI,2019.0,Male,8090
613,MONTANA,2009.0,Female,1281
614,MONTANA,2009.0,Male,3452
615,MONTANA,2010.0,Female,1211
616,MONTANA,2010.0,Male,3403
617,MONTANA,2011.0,Female,1332
618,MONTANA,2011.0,Male,3787
619,MONTANA,2012.0,Female,1521
620,MONTANA,2012.0,Male,3688
621,MONTANA,2013.0,Female,1493
622,MONTANA,2013.0,Male,3343
623,MONTANA,2014.0,Female,1163
624,MONTANA,2014.0,Male,2383
625,MONTANA,2015.0,Female,1025
626,MONTANA,2015.0,Male,2443
627,MONTANA,2016.0,Female,1085
628,MONTANA,2016.0,Male,2239
629,MONTANA,2017.0,Female,655
630,MONTANA,2017.0,Male,1273
631,MONTANA,2018.0,Female,274
632,MONTANA,2018.0,Male,600
633,MONTANA,2019.0,Female,175
634,MONTANA,2019.0,Male,364
635,NEBRASKA,2009.0,-9.0,2
636,NEBRASKA,2009.0,Female,1083
637,NEBRASKA,2009.0,Male,1586
638,NEBRASKA,2010.0,-9.0,5
639,NEBRASKA,2010.0,Female,1559
640,NEBRASKA,2010.0,Male,2443
641,NEBRASKA,2011.0,Female,1745
642,NEBRASKA,2011.0,Male,2459
643,NEBRASKA,2012.0,Female,1807
644,NEBRASKA,2012.0,Male,2560
645,NEBRASKA,2013.0,-9.0,1
646,NEBRASKA,2013.0,Female,1562
647,NEBRASKA,2013.0,Male,2437
648,NEBRASKA,2014.0,Female,1235
649,NEBRASKA,2014.0,Male,2016
650,NEBRASKA,2015.0,-9.0,2
651,NEBRASKA,2015.0,Female,1389
652,NEBRASKA,2015.0,Male,2345
653,NEBRASKA,2016.0,-9.0,10
654,NEBRASKA,2016.0,Female,2052
655,NEBRASKA,2016.0,Male,3675
656,NEBRASKA,2017.0,-9.0,22
657,NEBRASKA,2017.0,Female,1542
658,NEBRASKA,2017.0,Male,2930
659,NEBRASKA,2018.0,-9.0,60
660,NEBRASKA,2018.0,Female,2096
661,NEBRASKA,2018.0,Male,3916
662,NEBRASKA,2019.0,-9.0,36
663,NEBRASKA,2019.0,Female,1906
664,NEBRASKA,2019.0,Male,3742
665,NEVADA,2009.0,Female,1904
666,NEVADA,2009.0,Male,3373
667,NEVADA,2010.0,Female,1822
668,NEVADA,2010.0,Male,3230
669,NEVADA,2011.0,Female,1821
670,NEVADA,2011.0,Male,3652
671,NEVADA,2012.0,Female,2195
672,NEVADA,2012.0,Male,3504
