,state,year,discharge_rate,row
201,MONTANA,2012.0,34.88193511230563,402
202,MONTANA,2013.0,34.30521091811414,404
203,MONTANA,2014.0,28.962210941906374,406
204,MONTANA,2015.0,48.93992932862191,408
205,MONTANA,2017.0,31.192005710206992,410
206,MONTANA,2019.0,80.14732965009208,412
207,NEBRASKA,2009.0,86.404833836858,414
208,NEBRASKA,2010.0,79.29790815099783,416
209,NEBRASKA,2011.0,78.54605730523325,418
210,NEBRASKA,2012.0,74.15702682746739,420
211,NEBRASKA,2013.0,71.60529344073649,422
212,NEBRASKA,2014.0,83.05913739439751,424
213,NEBRASKA,2016.0,43.92532499266934,426
214,NEBRASKA,2018.0,48.34977883633889,428
215,NEVADA,2009.0,13.473564525298464,430
216,NEVADA,2010.0,13.182897862232778,432
217,NEVADA,2011.0,13.612278457884159,434
218,NEVADA,2012.0,14.68678715564134,436
219,NEVADA,2013.0,14.149888143176733,438
220,NEVADA,2014.0,17.1523178807947,440
221,NEVADA,2015.0,42.38040440572086,442
222,NEVADA,2017.0,51.374602580886474,444
223,NEVADA,2019.0,36.51143099068586,446
224,NEW HAMPSHIRE ,2009.0,70.9748427672956,448
225,NEW HAMPSHIRE ,2010.0,65.48030407740151,450
226,NEW HAMPSHIRE ,2011.0,67.25482150184654,452
227,NEW HAMPSHIRE ,2012.0,74.21543681085666,454
228,NEW HAMPSHIRE ,2013.0,73.37147887323944,456
229,NEW HAMPSHIRE ,2014.0,81.93113241036563,458
230,NEW HAMPSHIRE ,2016.0,54.63288329942667,460
231,NEW HAMPSHIRE ,2018.0,32.30016313213703,462
232,NEW JERSEY,2009.0,29.831550686355175,464
233,NEW JERSEY,2010.0,30.622713535867664,466
234,NEW JERSEY,2011.0,31.614498745016977,468
235,NEW JERSEY,2012.0,34.21800597984571,470
236,NEW JERSEY,2013.0,32.37610004631774,472
237,NEW JERSEY,2014.0,24.014215603316973,474
238,NEW JERSEY,2015.0,51.95018088634308,476
239,NEW JERSEY,2017.0,51.754144122411006,478
240,NEW JERSEY,2019.0,13.060803256600636,480
241,NEW MEXICO ,2010.0,91.63724624889673,482
242,NEW MEXICO ,2011.0,37.77372262773723,484
243,NEW MEXICO ,2016.0,42.09790209790209,486
244,NEW MEXICO ,2018.0,68.28358208955224,488
245,NEW YORK,2009.0,41.51132029039006,490
246,NEW YORK,2010.0,41.655093653288965,492
247,NEW YORK,2011.0,42.974756558064215,494
248,NEW YORK,2012.0,43.48926720947446,496
249,NEW YORK,2013.0,44.808460175928424,498
250,NEW YORK,2014.0,45.58855109365892,500
251,NEW YORK,2015.0,49.1727561822177,502
252,NEW YORK,2017.0,49.692846291036396,504
253,NEW YORK,2019.0,30.254058164530058,506
254,NORTH CAROLINA,2010.0,83.10239244382169,508
255,NORTH CAROLINA,2011.0,78.92957525011302,510
256,NORTH CAROLINA,2012.0,79.91476423088426,512
257,NORTH CAROLINA,2013.0,88.81201818541213,514
258,NORTH CAROLINA,2014.0,85.02272643287387,516
259,NORTH CAROLINA,2016.0,71.31185083403514,518
260,NORTH CAROLINA,2018.0,55.84558621069442,520
261,NORTH DAKOTA,2009.0,43.95043731778426,522
262,NORTH DAKOTA,2010.0,41.55642023346304,524
263,NORTH DAKOTA,2011.0,44.45727482678984,526
264,NORTH DAKOTA,2012.0,46.48648648648649,528
265,NORTH DAKOTA,2013.0,42.69449715370019,530
266,NORTH DAKOTA,2014.0,46.82835820895522,532
267,NORTH DAKOTA,2015.0,4.724409448818897,534
268,NORTH DAKOTA,2017.0,66.66666666666666,536
269,OHIO,2009.0,25.82485591614126,538
270,OHIO,2010.0,23.201165166731883,540
271,OHIO,2011.0,26.319984608196133,542
272,OHIO,2012.0,25.36245440089795,544
273,OHIO,2013.0,23.392286383976135,546
274,OHIO,2014.0,26.28424328581857,548
275,OHIO,2015.0,44.77223023591271,550
276,OHIO,2017.0,46.53750530592444,552
277,OHIO,2019.0,39.28657362848893,554
278,OKLAHOMA,2009.0,70.03233392122281,556
279,OKLAHOMA,2010.0,80.61534017044633,558
280,OKLAHOMA,2011.0,82.77828171569263,560
281,OKLAHOMA,2012.0,79.39364062114863,562
282,OKLAHOMA,2013.0,82.67835877449389,564
283,OKLAHOMA,2014.0,84.28818561107154,566
284,OKLAHOMA,2016.0,49.7135820975427,568
285,OKLAHOMA,2018.0,47.87514736428451,570
286,PENNSYLVANIA,2012.0,19.51219512195122,572
287,PENNSYLVANIA,2013.0,29.6968322370908,574
288,PENNSYLVANIA,2014.0,31.858342460752098,576
289,PENNSYLVANIA,2015.0,54.75585824772019,578
290,PENNSYLVANIA,2017.0,48.001786112971644,580
291,PENNSYLVANIA,2019.0,19.129526462395543,582
292,RHODE ISLAND,2009.0,60.06258556620379,584
293,RHODE ISLAND,2010.0,60.017953321364445,586
294,RHODE ISLAND,2011.0,60.13001083423619,588
295,RHODE ISLAND,2012.0,55.694523403448926,590
296,RHODE ISLAND,2013.0,52.29047920624868,592
297,RHODE ISLAND,2014.0,70.59609730018711,594
298,RHODE ISLAND,2016.0,49.62529702065436,596
299,RHODE ISLAND,2018.0,60.783931357254296,598
300,SOUTH DAKOTA,2009.0,46.831623415811706,600
301,SOUTH DAKOTA,2010.0,42.68440145102781,602
302,SOUTH DAKOTA,2011.0,43.447669305189095,604
303,SOUTH DAKOTA,2012.0,42.16968011126564,606
304,SOUTH DAKOTA,2013.0,43.61004915346805,608
305,SOUTH DAKOTA,2014.0,43.34461364918218,610
306,SOUTH DAKOTA,2015.0,55.6905788579642,612
307,SOUTH DAKOTA,2017.0,53.513824884792626,614
308,SOUTH DAKOTA,2019.0,12.11759438889718,616
309,TENNESSEE,2009.0,90.54054054054053,618
310,TENNESSEE,2010.0,93.01825993555317,620
311,TENNESSEE,2011.0,80.16789087093389,622
312,TENNESSEE,2012.0,82.84540318438623,624
313,TENNESSEE,2013.0,81.74483106404438,626
314,TENNESSEE,2014.0,85.12978442586889,628
315,TENNESSEE,2016.0,48.91898932013545,630
316,TENNESSEE,2018.0,53.0174844895657,632
317,TEXAS,2009.0,2.8596472006135643,634
318,TEXAS,2010.0,18.473986690865093,636
319,TEXAS,2011.0,19.98349040379721,638
320,TEXAS,2012.0,20.133882595262616,640
321,TEXAS,2013.0,21.199248427416062,642
322,TEXAS,2014.0,20.02714932126697,644
323,TEXAS,2015.0,48.67638810992709,646
324,TEXAS,2017.0,64.4960362400906,648
325,TEXAS,2019.0,28.43984155013602,650
326,UTAH,2009.0,72.14665112061148,652
327,UTAH,2010.0,71.7461600646726,654
328,UTAH,2011.0,72.09523809523809,656
