,DISYR,STATE_NAME,Imp_Year,count
457,2019.0,OHIO,2014,10093
458,2019.0,OKLAHOMA,Never,8528
459,2019.0,PENNSYLVANIA,2015,11613
460,2019.0,RHODE ISLAND,2014,6234
461,2019.0,SOUTH DAKOTA,Never,5889
462,2019.0,TENNESSEE,Never,1880
463,2019.0,TEXAS,Never,14994
464,2019.0,UTAH,Never,6900
465,2019.0,VERMONT,2014,5217
466,2019.0,WISCONSIN,Never,4835
467,2019.0,WYOMING,Never,2097
