,state,year,medicaid_use,row
186,MONTANA,2009.0,8.451299387280795,930
187,MONTANA,2010.0,7.498916341569137,935
188,MONTANA,2011.0,7.091228755616331,940
189,MONTANA,2012.0,8.46611633710885,945
190,MONTANA,2013.0,8.664185277088503,950
191,MONTANA,2014.0,10.462492949802595,955
192,MONTANA,2015.0,12.600922722029988,960
193,MONTANA,2016.0,27.196149217809868,965
194,MONTANA,2017.0,41.545643153526974,970
195,MONTANA,2018.0,43.7070938215103,975
196,MONTANA,2019.0,47.49536178107607,980
197,NEBRASKA,2009.0,7.824784724822163,985
198,NEBRASKA,2010.0,12.0539056650861,990
199,NEBRASKA,2011.0,15.104662226451,995
200,NEBRASKA,2012.0,12.29677123883673,1000
201,NEBRASKA,2013.0,10.85,1005
202,NEBRASKA,2014.0,5.721316517994463,1010
203,NEBRASKA,2015.0,4.17558886509636,1015
204,NEBRASKA,2016.0,2.7366219278368487,1020
205,NEBRASKA,2017.0,1.290609701824655,1025
206,NEBRASKA,2018.0,1.4986824769433467,1030
207,NEBRASKA,2019.0,1.4074595355383532,1035
208,NEVADA,2009.0,2.1982186848588214,1040
209,NEVADA,2010.0,1.979414093428345,1045
210,NEVADA,2011.0,1.699250867896949,1050
211,NEVADA,2012.0,1.4388489208633095,1055
212,NEVADA,2013.0,1.249067859806115,1060
213,NEVADA,2014.0,12.185430463576159,1065
214,NEVADA,2015.0,29.4151212553495,1070
215,NEVADA,2016.0,13.266097750193948,1075
216,NEVADA,2017.0,20.03846153846154,1080
217,NEVADA,2018.0,38.69676010192938,1085
218,NEVADA,2019.0,43.82502000533476,1090
219,NEW HAMPSHIRE ,2009.0,11.010068203962325,1095
220,NEW HAMPSHIRE ,2010.0,11.425061425061426,1100
221,NEW HAMPSHIRE ,2011.0,10.954326030449312,1105
222,NEW HAMPSHIRE ,2012.0,10.235870048954162,1110
223,NEW HAMPSHIRE ,2013.0,9.51167728237792,1115
224,NEW HAMPSHIRE ,2014.0,9.099264705882353,1120
225,NEW HAMPSHIRE ,2015.0,30.415944540727903,1125
226,NEW HAMPSHIRE ,2016.0,34.6106807990216,1130
227,NEW HAMPSHIRE ,2017.0,27.488151658767773,1135
228,NEW HAMPSHIRE ,2018.0,36.7710843373494,1140
229,NEW HAMPSHIRE ,2019.0,49.19191919191919,1145
230,NEW JERSEY,2009.0,8.660633092279046,1150
231,NEW JERSEY,2010.0,7.432002544933991,1155
232,NEW JERSEY,2011.0,8.09833161080762,1160
233,NEW JERSEY,2012.0,8.456683031264996,1165
234,NEW JERSEY,2013.0,7.650146672842366,1170
235,NEW JERSEY,2014.0,6.24471145709934,1175
236,NEW JERSEY,2015.0,12.179914513156346,1180
237,NEW JERSEY,2016.0,25.95843458706612,1185
238,NEW JERSEY,2017.0,38.8192435444123,1190
239,NEW JERSEY,2018.0,45.43699017812552,1195
240,NEW JERSEY,2019.0,48.25403106143041,1200
241,NEW MEXICO ,2010.0,3.5378246142265715,1205
242,NEW MEXICO ,2011.0,3.6814891416752844,1210
243,NEW MEXICO ,2015.0,16.062801932367147,1215
244,NEW MEXICO ,2016.0,21.980676328502415,1220
245,NEW MEXICO ,2017.0,11.627906976744185,1225
246,NEW MEXICO ,2018.0,0.020645399476335514,1230
247,NEW YORK,2012.0,20.685230806448402,1235
248,NEW YORK,2017.0,25.50569323509712,1240
249,NORTH CAROLINA,2012.0,26.552269135244977,1245
250,NORTH CAROLINA,2017.0,34.676341691213445,1250
251,NORTH DAKOTA,2009.0,28.879310344827587,1255
252,NORTH DAKOTA,2010.0,27.40989103101425,1260
253,NORTH DAKOTA,2011.0,29.464285714285715,1265
254,NORTH DAKOTA,2012.0,26.111111111111114,1270
255,NORTH DAKOTA,2013.0,24.339622641509433,1275
256,NORTH DAKOTA,2014.0,27.549194991055455,1280
257,NORTH DAKOTA,2015.0,27.626459143968873,1285
258,NORTH DAKOTA,2016.0,5.714285714285714,1290
259,NORTH DAKOTA,2017.0,8.928571428571429,1295
260,NORTH DAKOTA,2019.0,0.029447074546401796,1300
261,OHIO,2009.0,3.9009344098702714,1305
262,OHIO,2010.0,4.676556969651329,1310
263,OHIO,2011.0,6.786966994886531,1315
264,OHIO,2012.0,4.745944496581311,1320
265,OHIO,2013.0,5.3667334669338675,1325
266,OHIO,2014.0,7.679207920792079,1330
267,OHIO,2015.0,9.792069632495165,1335
268,OHIO,2016.0,8.356485264476767,1340
269,OHIO,2017.0,6.439345107644708,1345
270,OHIO,2018.0,7.745314222712238,1350
271,OHIO,2019.0,2.1185515222993927,1355
272,OKLAHOMA,2012.0,18.762075467306037,1360
273,OKLAHOMA,2017.0,34.24546393273344,1365
